date_published,sentiment
2022-04-03 10:57:17,-1
2022-04-04 07:46:11,1
2022-04-07 15:59:52,-1
2022-04-03 02:16:56,0
2022-04-05 07:04:44,1
2022-04-02 00:54:34,-1
2022-04-06 02:17:28,1
2022-04-07 06:02:56,1
2022-04-03 03:37:25,0
2022-04-04 14:31:18,0
2022-04-03 18:47:10,1
2022-04-03 10:38:44,0
2022-04-02 15:57:45,-1
2022-04-07 11:39:52,0
2022-04-08 23:45:12,-1
2022-04-02 18:56:39,-1
2022-04-07 02:39:23,1
2022-04-06 04:50:29,0
2022-04-04 23:51:03,-1
2022-04-02 06:13:44,-1
2022-04-02 04:21:39,-1
2022-04-06 17:08:00,0
2022-04-04 03:52:42,1
2022-04-04 09:28:11,0
2022-04-08 09:11:24,0
2022-04-07 22:49:05,1
2022-04-06 14:54:40,1
2022-04-04 21:22:38,1
2022-04-04 11:08:14,0
2022-04-06 14:04:01,-1
2022-04-04 14:10:02,0
2022-04-04 15:03:38,0
2022-04-02 07:06:30,0
2022-04-06 09:05:38,0
2022-04-04 08:24:57,0
2022-04-02 17:43:15,0
2022-04-05 23:59:28,-1
2022-04-04 20:03:27,-1
2022-04-06 21:05:02,1
2022-04-07 13:40:48,0
2022-04-06 03:46:16,1
2022-04-03 21:43:21,1
2022-04-04 16:43:57,1
2022-04-07 15:16:12,1
2022-04-07 03:35:14,-1
2022-04-05 20:11:15,1
2022-04-06 07:08:32,-1
2022-04-04 22:12:50,-1
2022-04-02 10:34:27,-1
2022-04-05 23:37:58,0
2022-04-02 06:36:32,-1
2022-04-07 01:54:41,-1
2022-04-03 19:15:40,1
2022-04-04 03:26:57,1
2022-04-05 05:26:17,1
2022-04-08 09:44:30,1
2022-04-06 15:58:31,1
2022-04-07 10:07:32,-1
2022-04-03 23:53:09,-1
2022-04-08 17:00:48,1
2022-04-06 13:17:08,1
2022-04-02 03:57:03,-1
2022-04-03 20:43:44,1
2022-04-06 10:35:46,0
2022-04-04 11:05:07,0
2022-04-07 09:23:49,1
2022-04-08 12:38:51,-1
2022-04-02 14:13:33,0
2022-04-02 07:16:48,0
2022-04-04 13:04:45,1
2022-04-05 13:31:36,1
2022-04-03 19:46:11,1
2022-04-02 08:19:18,1
2022-04-04 13:53:36,-1
2022-04-07 23:32:05,-1
2022-04-08 12:16:43,-1
2022-04-08 03:46:38,1
2022-04-03 13:35:47,0
2022-04-06 04:59:01,1
2022-04-08 04:47:11,1
2022-04-02 14:13:46,1
2022-04-03 23:00:18,1
2022-04-06 22:39:03,1
2022-04-07 11:25:20,-1
2022-04-04 12:43:43,-1
2022-04-06 06:08:10,1
2022-04-08 03:55:31,-1
2022-04-03 05:04:12,0
2022-04-02 16:49:44,1
2022-04-08 07:17:32,0
2022-04-06 22:33:06,-1
2022-04-06 11:27:55,0
2022-04-08 04:11:44,-1
2022-04-05 02:44:42,1
2022-04-03 13:00:43,1
2022-04-04 19:28:26,1
2022-04-08 20:23:07,1
2022-04-02 06:02:31,1
2022-04-02 23:38:36,-1
2022-04-02 21:12:07,0
2022-04-02 20:38:47,1
2022-04-08 17:13:31,1
2022-04-05 23:37:17,-1
2022-04-02 22:07:25,-1
2022-04-02 21:06:51,-1
2022-04-03 18:09:07,1
2022-04-02 02:33:57,0
2022-04-07 14:29:26,-1
2022-04-07 19:11:33,0
2022-04-03 21:52:49,0
2022-04-04 21:28:07,0
2022-04-06 08:21:08,1
2022-04-02 10:00:51,1
2022-04-02 04:56:29,1
2022-04-08 15:33:17,1
2022-04-08 03:43:56,-1
2022-04-04 08:46:28,1
2022-04-08 18:16:35,-1
2022-04-02 18:27:06,0
2022-04-05 07:09:34,1
2022-04-05 01:43:18,1
2022-04-03 17:31:44,-1
2022-04-02 11:56:04,-1
2022-04-05 14:26:16,0
2022-04-08 13:02:53,0
2022-04-02 18:53:04,1
2022-04-03 01:38:52,1
2022-04-04 08:04:56,-1
2022-04-04 12:27:49,0
2022-04-03 09:33:17,1
2022-04-08 12:47:27,-1
2022-04-04 19:05:41,0
2022-04-03 04:57:56,-1
2022-04-08 16:23:01,1
2022-04-07 01:55:40,0
2022-04-05 00:28:22,0
2022-04-02 07:39:37,-1
2022-04-03 05:28:26,0
2022-04-06 08:42:39,0
2022-04-05 03:57:21,1
2022-04-02 06:04:41,0
2022-04-05 10:38:26,0
2022-04-03 18:27:44,1
2022-04-03 01:33:56,0
2022-04-03 09:59:08,-1
2022-04-03 00:52:36,1
2022-04-06 02:48:11,-1
2022-04-04 11:45:59,-1
2022-04-02 17:11:44,1
2022-04-05 21:50:45,0
2022-04-05 03:27:42,1
2022-04-03 07:50:44,0
2022-04-02 00:43:03,-1
2022-04-04 16:52:38,1
2022-04-03 22:46:56,-1
2022-04-06 17:15:42,-1
2022-04-05 21:48:11,-1
2022-04-02 21:03:00,-1
2022-04-03 12:24:24,-1
2022-04-04 10:12:20,1
2022-04-06 19:27:25,1
2022-04-06 06:48:52,-1
2022-04-06 08:33:34,-1
2022-04-05 08:16:13,0
